,age_group,activity,mu,std
0,15-23,Lying,75.0364392520315,17.52088953279343
1,15-23,Sitting,80.81952972004528,21.357313989439746
2,15-23,Self Pace walk,81.61037832163149,24.354013401921772
3,15-23,Running 3 METs,78.14217169398904,18.947750318118683
4,15-23,Running 5 METs,85.85840557172081,22.492366462186105
5,15-23,Running 7 METs,94.62094562235603,37.501330585253896
6,23-31,Lying,84.41038707775958,14.63695526669573
7,23-31,Sitting,87.88617829322135,18.198317837833134
8,23-31,Self Pace walk,90.16043547419119,13.753765124392087
9,23-31,Running 3 METs,93.52797011521895,17.15768346528441
10,23-31,Running 5 METs,101.70062834490264,25.54297943183705
11,23-31,Running 7 METs,120.9102597356042,36.931587524276225
12,31-40,Lying,79.30919620876249,14.679569408815043
13,31-40,Sitting,84.88842337443509,18.650171938912276
14,31-40,Self Pace walk,83.28414801086537,14.152387857325554
15,31-40,Running 3 METs,84.71986694930038,16.94643616234797
16,31-40,Running 5 METs,103.83443104418699,29.952812370652374
17,31-40,Running 7 METs,119.41780351801353,42.84292926027298
18,40-55,Lying,85.3626995543867,14.586637492260945
19,40-55,Sitting,84.88554300656432,16.842086344044255
20,40-55,Self Pace walk,85.69594117892495,8.156947825651779
21,40-55,Running 3 METs,95.56445552181707,12.391953309446594
22,40-55,Running 5 METs,106.01930943252731,17.43122124999292
23,40-55,Running 7 METs,131.15513889556078,26.7591077991829
24,55-65,Lying,72.448174260508,9.148521268279168
25,55-65,Sitting,87.1450142361111,10.81177528815928
26,55-65,Self Pace walk,85.16346579184703,9.131373424871825
27,55-65,Running 3 METs,82.76666666666667,21.879071915389552
28,55-65,Running 5 METs,108.5637626262627,19.641037322267024
29,55-65,Running 7 METs,117.26203703703716,30.425031479502874
