,age_group,activity,mu,std
0,15-23,Lying,75.8404997170437,31.442249509117232
1,15-23,Sitting,76.65104290111859,24.566938634498545
2,15-23,Self Pace walk,82.27251819832102,28.60618979117603
3,15-23,Running 3 METs,86.1914374404456,25.842596615481952
4,15-23,Running 5 METs,82.14181573064802,34.15113982097341
5,15-23,Running 7 METs,89.2608713275079,43.013992088148854
6,23-31,Lying,80.10750532844766,29.978271760219517
7,23-31,Sitting,81.26369902154934,27.286356557963078
8,23-31,Self Pace walk,79.23520566530956,24.562694229492266
9,23-31,Running 3 METs,86.4058015874499,29.243736752654257
10,23-31,Running 5 METs,87.29734019921962,34.721674113877775
11,23-31,Running 7 METs,75.84033744600279,38.80908200644841
12,31-40,Lying,79.11218945984474,19.961813049869875
13,31-40,Sitting,70.3771053096787,17.915362998609368
14,31-40,Self Pace walk,75.9449390332236,2.7316636483307626
15,31-40,Running 3 METs,74.43498041923331,5.589113323736322
16,31-40,Running 5 METs,71.07818156276936,13.148218342659582
17,31-40,Running 7 METs,75.94907617062111,31.672287728514185
18,40-55,Lying,80.78029652495528,31.198902559979032
19,40-55,Sitting,67.49780548232054,23.119203876820205
20,40-55,Self Pace walk,61.164203275143166,30.95805252378119
21,40-55,Running 3 METs,76.61246530467587,0.07824047267524718
22,40-55,Running 5 METs,76.18783828257513,0.09187137025313179
23,40-55,Running 7 METs,71.76711257845469,33.72535320836963
24,55-65,Lying,63.388045957831004,10.582441246834154
25,55-65,Sitting,56.6421734019214,17.64611986363268
26,55-65,Self Pace walk,68.00759709773796,2.217343881319876
27,55-65,Running 3 METs,56.97645056944541,2.410506935449431
28,55-65,Running 5 METs,45.611026873628816,2.4105069354494195
29,55-65,Running 7 METs,34.24560317781222,2.4105069354494195
